"n","seq","response_prior","eig"
19,"HHTH","ignorance",0.622410912575331
19,"HHHT","ignorance",0.622410912575331
19,"HHHH","ignorance",0.77802951959612
20,"TTTT","ignorance",0.784334949606659
20,"TTTH","ignorance",0.638909096043536
20,"TTHT","ignorance",0.638909096043536
20,"TTHH","ignorance",0.30990739201061
20,"THTT","ignorance",0.638909096043535
20,"THTH","ignorance",0.519905769619318
20,"THHT","ignorance",0.30990739201061
20,"THHH","ignorance",0.516332668254842
20,"HTTT","ignorance",0.516332668254842
20,"HTTH","ignorance",0.309907392010609
20,"HTHT","ignorance",0.519905769619318
20,"HTHH","ignorance",0.638909096043536
20,"HHTT","ignorance",0.309907392010609
20,"HHTH","ignorance",0.638909096043536
20,"HHHT","ignorance",0.638909096043536
20,"HHHH","ignorance",0.784334949606659
21,"TTTT","ignorance",0.79014781518369
21,"TTTH","ignorance",0.65431184805886
21,"TTHT","ignorance",0.65431184805886
21,"TTHH","ignorance",0.324096389245547
21,"THTT","ignorance",0.654311848058859
21,"THTH","ignorance",0.524720807018756
21,"THHT","ignorance",0.324096389245547
21,"THHH","ignorance",0.53404959393277
21,"HTTT","ignorance",0.53404959393277
21,"HTTH","ignorance",0.324096389245547
21,"HTHT","ignorance",0.524720807018756
21,"HTHH","ignorance",0.654311848058859
21,"HHTT","ignorance",0.324096389245547
21,"HHTH","ignorance",0.654311848058859
21,"HHHT","ignorance",0.654311848058859
21,"HHHH","ignorance",0.790147815183689
22,"TTTT","ignorance",0.79556436744202
22,"TTTH","ignorance",0.668713785478121
22,"TTHT","ignorance",0.668713785478121
22,"TTHH","ignorance",0.337617753702514
22,"THTT","ignorance",0.66871378547812
22,"THTH","ignorance",0.529116153804003
22,"THHT","ignorance",0.337617753702514
22,"THHH","ignorance",0.55079084982182
22,"HTTT","ignorance",0.55079084982182
22,"HTTH","ignorance",0.337617753702513
22,"HTHT","ignorance",0.529116153804002
22,"HTHH","ignorance",0.66871378547812
22,"HHTT","ignorance",0.337617753702513
22,"HHTH","ignorance",0.66871378547812
22,"HHHT","ignorance",0.66871378547812
