"workerid","rt","trial_type","sequence","response_binary","seq_binary","response"
302,14278,"coins","H H H H ",0,"1111","T"
303,11859,"coins","H H T T ",0,"1100","T"
304,10516,"coins","T T T H ",0,"0001","T"
305,8218,"coins","H T H T ",1,"1010","H"
306,14630,"coins","H H H T ",0,"1110","T"
307,12076,"coins","H H T T ",1,"1100","H"
308,7621,"coins","H H T T ",1,"1100","H"
309,6529,"coins","H H H H ",1,"1111","H"
310,8192,"coins","T T T H ",0,"0001","T"
311,10525,"coins","T H T T ",1,"0100","H"
312,12188,"coins","H H T T ",0,"1100","T"
313,10050,"coins","T T T H ",1,"0001","H"
314,16837,"coins","H H H H ",1,"1111","H"
315,14933,"coins","H H H H ",0,"1111","T"
316,8988,"coins","H H T T ",1,"1100","H"
317,14254,"coins","T H T T ",1,"0100","H"
318,7267,"coins","H T H T ",0,"1010","T"
319,10595,"coins","H T H T ",0,"1010","T"
320,14328,"coins","T H T T ",1,"0100","H"
321,6282,"coins","T T H T ",1,"0010","H"
322,8301,"coins","H H H H ",1,"1111","H"
323,8931,"coins","H H H T ",0,"1110","T"
324,5647,"coins","T T H T ",0,"0010","T"
325,10518,"coins","T T T H ",1,"0001","H"
326,9111,"coins","H H H T ",0,"1110","T"
327,11569,"coins","T T H T ",1,"0010","H"
328,13408,"coins","T T H T ",0,"0010","T"
329,8740,"coins","T T T H ",1,"0001","H"
330,15528,"coins","T T T H ",1,"0001","H"
331,57641,"coins","T T H T ",0,"0010","T"
332,8234,"coins","H H H H ",1,"1111","H"
333,13206,"coins","T H T T ",1,"0100","H"
334,19398,"coins","T H T T ",1,"0100","H"
335,8677,"coins","T H T T ",1,"0100","H"
336,4602,"coins","T H T T ",0,"0100","T"
337,14429,"coins","T H T T ",1,"0100","H"
338,8159,"coins","T H T T ",1,"0100","H"
339,12441,"coins","T H T T ",1,"0100","H"
340,22184,"coins","T H T T ",1,"0100","H"
341,14481,"coins","T H T T ",1,"0100","H"
342,7187,"coins","T H T T ",1,"0100","H"
343,9212,"coins","T H T T ",1,"0100","H"
344,4077,"coins","T T T H ",1,"0001","H"
345,14704,"coins","T T T H ",0,"0001","T"
346,13741,"coins","T T T H ",1,"0001","H"
347,24923,"coins","T T T H ",1,"0001","H"
348,12144,"coins","T T T H ",1,"0001","H"
349,17596,"coins","T T T H ",1,"0001","H"
350,12891,"coins","T T T H ",1,"0001","H"
